time(ns),Re(J'=0;m=0:J'=0;m=0),Im(J'=0;m=0:J'=0;m=0),Re(J=1;m=-1:J=1;m=-1),Im(J=1;m=-1:J=1;m=-1),Re(J=1;m=-1:J=1;m=0),Im(J=1;m=-1:J=1;m=0),Re(J=1;m=-1:J=1;m=1),Im(J=1;m=-1:J=1;m=1),Re(J=1;m=0:J=1;m=-1),Im(J=1;m=0:J=1;m=-1),Re(J=1;m=0:J=1;m=0),Im(J=1;m=0:J=1;m=0),Re(J=1;m=0:J=1;m=1),Im(J=1;m=0:J=1;m=1),Re(J=1;m=1:J=1;m=-1),Im(J=1;m=1:J=1;m=-1),Re(J=1;m=1:J=1;m=0),Im(J=1;m=1:J=1;m=0),Re(J=1;m=1:J=1;m=1),Im(J=1;m=1:J=1;m=1),Re(J=1;m=-1:J'=0;m=0),Im(J=1;m=-1:J'=0;m=0),Re(J=1;m=0:J'=0;m=0),Im(J=1;m=0:J'=0;m=0),Re(J=1;m=1:J'=0;m=0),Im(J=1;m=1:J'=0;m=0),Re(J'=0;m=0:J=1;m=-1),Im(J'=0;m=0:J=1;m=-1),Re(J'=0;m=0:J=1;m=0),Im(J'=0;m=0:J=1;m=0),Re(J'=0;m=0:J=1;m=1),Im(J'=0;m=0:J=1;m=1)
0.0,1.0,-2.168404344971009e-18,0.0,0.0,-1.0947644252537633e-47,1.9158377441940858e-47,0.0,0.0,-9.244463733058732e-33,4.930380657631324e-32,-1.5178830414797062e-17,6.938893903907228e-18,-6.018531076210112e-36,-1.3894343226719438e-35,0.0,0.0,7.355448482173722e-48,-1.0947644252537633e-47,0.0,0.0,-1.642146637880645e-47,1.3684555315672042e-47,1.338989683019598e-17,0.0,-2.651382592411458e-48,4.1053665947016125e-48,-1.232595164407831e-32,4.930380657631324e-32,-4.5211230592645535e-17,6.938893903907228e-18,9.027796614315168e-36,3.76158192263132e-37
0.1,0.9902784216906336,3.122502256758253e-17,0.0,0.0,-8.215294826140202e-37,6.298654427518617e-38,0.0,0.0,5.66526929398898e-20,-8.11979755163554e-21,0.009721578309366598,-3.729655473350135e-17,1.3532304075252553e-25,-6.56010794566576e-27,0.0,0.0,2.3848288869284743e-39,3.921727635192713e-40,0.0,0.0,1.3125783272000974e-36,-1.8076919368936906e-37,-0.0061697047021436816,0.09792135609341794,-1.9190721105842822e-38,1.1993837814107904e-37,-3.1111674295923667e-19,1.454991817819262e-18,-0.006169704702143757,-0.09792135609341793,-3.478751093704939e-25,-5.4518123178008946e-24
0.2,0.9620602188102594,2.7972416050126014e-17,0.0,0.0,-1.2862798058875977e-35,1.469095126284742e-36,0.0,0.0,4.414142661132569e-19,-9.772564756520045e-20,0.037939781189740694,-6.657001339060997e-17,2.1178242496041367e-24,-2.3329404593482385e-25,0.0,0.0,7.521123502758853e-38,1.075257124973165e-38,0.0,0.0,2.050621648540407e-35,-3.540019617735534e-36,-0.024166159450332222,0.18948272147703019,-2.5417164998983396e-37,1.8917639208569766e-36,-1.902500026230695e-18,5.760367154778224e-18,-0.02416615945033227,-0.18948272147703016,-6.009864022632748e-24,-4.2546204023785106e-23
0.30000000000000004,0.9174770918374185,3.3176586478056436e-17,0.0,0.0,-6.334660364191055e-35,9.643284499741555e-36,0.0,0.0,1.4357924874394095e-18,-4.3350211110616725e-19,0.08252290816258165,-8.543513119185775e-17,1.0414428089401284e-23,-1.7997602785076307e-24,0.0,0.0,5.607198282658894e-37,6.816242918956433e-38,0.0,0.0,1.0077808706246713e-34,-2.0973185336169358e-35,-0.05275964590955631,0.26988577465880775,-1.0215297910150222e-36,9.390493154635213e-36,-5.647312445522566e-18,1.2830451782244104e-17,-0.05275964590955628,-0.2698857746588077,-3.059268657547595e-23,-1.3861511881137577e-22
0.4,0.8594881994708129,9.107298248878237e-18,0.0,0.0,-1.936038119118165e-34,3.6965223956130334e-35,0.0,0.0,3.2449113736556924e-18,-1.2532582832556302e-18,0.1405118005291873,-7.654467337747661e-17,3.174803451203002e-23,-7.525008792617629e-24,0.0,0.0,2.3108945943126017e-36,2.3154740496358424e-37,0.0,0.0,3.0739088963038326e-34,-7.511041003632741e-35,-0.09017842757923279,0.3350787302032382,-2.408290342575213e-36,2.89446287912609e-35,-1.2211227467059985e-17,2.2578778874204485e-17,-0.09017842757923271,-0.3350787302032382,-9.520519997025336e-23,-3.137939435041196e-22
0.5,0.791695136980464,-1.452830911130576e-17,0.0,0.0,-4.543346177788232e-34,1.0474319158762062e-34,0.0,0.0,5.975568216330208e-18,-2.8432377825503747e-18,0.20830486301953618,-8.304988641238964e-17,7.422916048752671e-23,-2.2522171140074424e-23,0.0,0.0,6.870773331678753e-36,5.416517296810704e-37,0.0,0.0,7.199899612217275e-34,-2.027045138777169e-34,-0.1342209070645711,0.38195505140745883,-3.9440215065210096e-36,6.854828178514669e-35,-2.1996842073205754e-17,3.4907367335604015e-17,-0.13422090706457088,-0.38195505140745883,-2.262170332599899e-22,-5.788567402281714e-22
0.6000000000000001,0.7181273448858941,-1.205632815803881e-16,0.0,0.0,-9.000634912596573e-34,2.4419028130315035e-34,0.0,0.0,9.622278048593749e-18,-5.50938969541643e-18,0.28187265511410603,-3.5128150388530344e-17,1.4632992155473773e-22,-5.453709522703437e-23,0.0,0.0,1.6592905024931805e-35,9.529757868028016e-37,0.0,0.0,1.4237531973110064e-33,-4.554604720433842e-34,-0.18238790683394487,0.40849496480193104,-4.347552884583004e-36,1.371402179580815e-34,-3.510753957087953e-17,4.9692954144613627e-17,-0.18238790683394446,-0.40849496480193115,-4.525848739179699e-22,-9.338091473887987e-22
0.7000000000000001,0.6430104813139148,-2.3505503099485736e-16,0.0,0.0,-1.5832057179515794e-33,4.963150804613214e-34,0.0,0.0,1.406214557680248e-17,-9.546703594078491e-18,0.3569895186860853,4.9873299934333204e-17,2.5578290954738727e-22,-1.1400363295796575e-22,0.0,0.0,3.467380438837123e-35,1.2467521361575089e-36,0.0,0.0,2.5000353905190494e-33,-8.992206172562647e-34,-0.23202729240466835,0.4138437409637516,-1.3692252398116331e-36,2.438012921216854e-34,-5.133280692614035e-17,6.677175473167173e-17,-0.232027292404668,-0.4138437409637518,-8.029440293416063e-22,-1.3673249901742228e-21
0.8,0.5705308537957725,-3.469446951953614e-16,0.0,0.0,-2.548180978650323e-33,9.107188971373122e-34,0.0,0.0,1.905881641144428e-17,-1.5208798986866635e-17,0.4294691462042276,1.5872719805187785e-16,4.0849144651311273e-22,-2.1380887543386567e-22,0.0,0.0,6.51087681129476e-35,9.355406363074959e-37,0.0,0.0,4.01718780059768e-33,-1.6115400540157402e-33,-0.28048271168216343,0.3983243214890719,8.257940161534642e-36,3.969260793176388e-34,-7.015563734145255e-17,8.592444496941065e-17,-0.28048271168216304,-0.39832432148907215,-1.3026743379431978e-21,-1.857056351648398e-21
0.9,0.5046088399144998,-4.913604245704306e-16,0.0,0.0,-3.825999259634827e-33,1.5433706176813883e-33,0.0,0.0,2.4275169464201388e-17,-2.2679909037593304e-17,0.4953911600855003,2.721347452938616e-16,6.075359468505366e-22,-3.6878234461005983e-22,0.0,0.0,1.125670691298023e-34,-8.292869356721675e-37,0.0,0.0,6.0222100438337183e-33,-2.677802780776191e-33,-0.32523823941052776,0.36338551388104556,2.8753001664410074e-35,6.034253491897517e-34,-9.078127003338382e-17,1.0686305357649393e-16,-0.32523823941052743,-0.363385513881046,-1.9711477213867504e-21,-2.37079003128857e-21
