time(ns),"Re(F'=0;m_F'=0,F'=0;m_F'=0)","Im(F'=0;m_F'=0,F'=0;m_F'=0)","Re(F=1;m_F=-1,F=1;m_F=-1)","Im(F=1;m_F=-1,F=1;m_F=-1)","Re(F=1;m_F=-1,F=1;m_F=0)","Im(F=1;m_F=-1,F=1;m_F=0)","Re(F=1;m_F=-1,F=1;m_F=1)","Im(F=1;m_F=-1,F=1;m_F=1)","Re(F=1;m_F=0,F=1;m_F=-1)","Im(F=1;m_F=0,F=1;m_F=-1)","Re(F=1;m_F=0,F=1;m_F=0)","Im(F=1;m_F=0,F=1;m_F=0)","Re(F=1;m_F=0,F=1;m_F=1)","Im(F=1;m_F=0,F=1;m_F=1)","Re(F=1;m_F=1,F=1;m_F=-1)","Im(F=1;m_F=1,F=1;m_F=-1)","Re(F=1;m_F=1,F=1;m_F=0)","Im(F=1;m_F=1,F=1;m_F=0)","Re(F=1;m_F=1,F=1;m_F=1)","Im(F=1;m_F=1,F=1;m_F=1)","Re(F=1;m_F=-1,F'=0;m_F'=0)","Im(F=1;m_F=-1,F'=0;m_F'=0)","Re(F=1;m_F=0,F'=0;m_F'=0)","Im(F=1;m_F=0,F'=0;m_F'=0)","Re(F=1;m_F=1,F'=0;m_F'=0)","Im(F=1;m_F=1,F'=0;m_F'=0)","Re(F'=0;m_F'=0,F=1;m_F=-1)","Im(F'=0;m_F'=0,F=1;m_F=-1)","Re(F'=0;m_F'=0,F=1;m_F=0)","Im(F'=0;m_F'=0,F=1;m_F=0)","Re(F'=0;m_F'=0,F=1;m_F=1)","Im(F'=0;m_F'=0,F=1;m_F=1)"
0.0,1.0,9.605355018460351e-18,0.0,0.0,0.0,-9.62964972193618e-34,0.0,0.0,2.311115933264683e-33,-4.766676612358409e-33,1.1709383462843448e-17,-1.0709370256472826e-17,0.0,0.0,0.0,0.0,-1.2518544638517033e-33,3.851859888774472e-34,0.0,0.0,6.2592723192585165e-34,-1.6851887013388314e-34,5.500670975725239e-17,-6.938893903907228e-18,6.7407548053553255e-34,2.5037089277034066e-33,-1.1170393677445968e-32,1.232595164407831e-32,-5.500670975725239e-17,6.938893903907228e-18,4.622231866529366e-33,5.296307347064899e-34
0.1,0.9902656101716113,6.306198782813771e-18,0.0,0.0,-9.62964972193618e-35,-1.1074097180226606e-33,0.0,0.0,9.928726953738877e-18,2.535879075987076e-18,0.009734389828388867,2.6704178090441736e-17,2.311115933264683e-33,-1.925929944387236e-34,0.0,0.0,-1.0592614694129797e-33,3.851859888774472e-34,0.0,0.0,5.7777898331617076e-34,-2.6481536735324493e-34,5.1917413336898496e-17,0.09817952290819598,9.62964972193618e-34,2.6000054249227684e-33,9.865555880284479e-18,1.9947833400431356e-18,-5.1917413336898496e-17,-0.09817952290819598,6.933347799794049e-33,-1.925929944387236e-33
0.2,0.9618593579031363,-1.000338352265885e-17,0.0,0.0,-1.925929944387236e-34,-1.0592614694129797e-33,0.0,0.0,1.9438706177392124e-17,4.938704540253982e-18,0.03814064209686382,7.279134381724031e-17,7.703719777548943e-34,1.925929944387236e-34,0.0,0.0,-8.666684749742561e-34,2.8888949165808538e-34,0.0,0.0,6.500013562306921e-34,-9.62964972193618e-35,5.0562840392521424e-17,0.19150245118064807,1.0592614694129797e-33,2.6963019221421302e-33,1.874741045382115e-17,3.923287634432434e-18,-5.0562840392521424e-17,-0.19150245118064807,8.474091755303838e-33,-1.925929944387236e-33
0.30000000000000004,0.9164869539097791,-2.97824127800851e-17,0.0,0.0,-3.1296361596292583e-34,-1.2037062152420224e-33,0.0,0.0,2.844503062216697e-17,7.163858674480818e-18,0.08351304609022117,1.0500072173622445e-16,3.0814879110195774e-33,7.703719777548943e-34,0.0,0.0,-4.81482486096809e-34,9.62964972193618e-35,0.0,0.0,6.500013562306921e-34,-3.3703774026776627e-34,4.660618223417913e-17,0.27648887395161215,1.1555579666323415e-33,3.0333396624098965e-33,2.631470866764355e-17,5.812249036022344e-18,-4.660618223417913e-17,-0.27648887395161215,9.244463733058732e-33,-2.6963019221421302e-33
0.4,0.8564603612766907,-2.5275313373836047e-17,0.0,0.0,-4.81482486096809e-34,-1.2037062152420224e-33,0.0,0.0,3.686823375320179e-17,9.172298931455428e-18,0.1435396387233095,8.863784232785802e-17,5.3926038442842604e-33,1.1555579666323415e-33,0.0,0.0,-2.8888949165808538e-34,-9.62964972193618e-35,0.0,0.0,3.6111186457260672e-34,-3.851859888774472e-34,1.0163012225904829e-16,0.35009530349234474,1.3481509610710651e-33,2.8888949165808538e-33,3.229431538083371e-17,7.714084362251352e-18,-1.0163012225904829e-16,-0.35009530349234474,7.703719777548943e-33,-4.622231866529366e-33
0.5,0.7845882745301741,-4.8523789583215903e-17,0.0,0.0,-5.7777898331617076e-34,-1.2518544638517033e-33,0.0,0.0,4.46352166314876e-17,1.093157238128e-17,0.2154117254698261,1.4860279586247105e-16,6.162975822039155e-33,1.925929944387236e-33,0.0,0.0,9.62964972193618e-35,-1.925929944387236e-34,0.0,0.0,3.3703774026776627e-34,-4.333342374871281e-34,1.0114291105265961e-16,0.40981924335016895,1.4444474582904269e-33,2.840746667971173e-33,3.647994000648103e-17,9.701983454311393e-18,-1.0114291105265961e-16,-0.40981924335016895,9.244463733058732e-33,-6.162975822039155e-33
0.6000000000000001,0.70405076051763,-7.524171274454937e-17,0.0,0.0,-7.342607912976337e-34,-1.1555579666323415e-33,0.0,0.0,5.1680148983427356e-17,1.2416582269444963e-17,0.2959492394823702,1.842816207334088e-16,9.629649721936179e-33,2.6963019221421302e-33,0.0,0.0,4.81482486096809e-34,-4.574083617919685e-34,0.0,0.0,1.3240768367662246e-34,-4.81482486096809e-34,1.2494182850994626e-16,0.4537793254291973,1.6370404527291505e-33,2.8166725436663324e-33,3.87383909711438e-17,1.1864187064899966e-17,-1.2494182850994626e-16,-0.4537793254291973,8.474091755303838e-33,-6.933347799794049e-33
0.7000000000000001,0.6182634530359026,-7.160197507628873e-17,0.0,0.0,-7.2222372914521344e-34,-1.2518544638517033e-33,0.0,0.0,5.794531922621133e-17,1.3610086293848731e-17,0.38173654696409764,1.34958995281483e-16,9.244463733058732e-33,3.0814879110195774e-33,0.0,0.0,5.7777898331617076e-34,-4.574083617919685e-34,0.0,0.0,3.6111186457260672e-34,-5.7777898331617076e-34,1.4180185206332562e-16,0.4807686778059532,1.4444474582904269e-33,2.8648207922760133e-33,3.901280395329374e-17,1.4297726453969425e-17,-1.4180185206332562e-16,-0.4807686778059532,1.1555579666323415e-32,-8.08890576642639e-33
0.8,0.5307369271299246,-6.709487567003967e-17,0.0,0.0,-9.68983503269828e-34,-1.2518544638517033e-33,0.0,0.0,6.338190831829603e-17,1.4502916838914994e-17,0.4692630728700755,1.6998729884892946e-16,1.0400021699691074e-32,3.0814879110195774e-33,0.0,0.0,8.666684749742561e-34,-6.620384183831123e-34,0.0,0.0,0.0,-5.7777898331617076e-34,1.4825353476084417e-16,0.49028030298041353,1.6370404527291505e-33,2.68426485998971e-33,3.732281068717856e-17,1.710191345885159e-17,-1.4825353476084417e-16,-0.49028030298041353,1.1170393677445968e-32,-8.859277744181285e-33
0.9,0.4449368862813904,-1.4672186484866577e-16,0.0,0.0,-8.772009043576238e-34,-1.1555579666323415e-33,0.0,0.0,6.795066321726864e-17,1.5093924080140444e-17,0.5550631137186097,2.3060277368703375e-16,1.232595164407831e-32,3.851859888774472e-33,0.0,0.0,1.0592614694129797e-33,-7.643534466786842e-34,0.0,0.0,1.4444474582904269e-34,-4.333342374871281e-34,1.4776632355445549e-16,0.4825043758457873,1.5407439555097887e-33,2.5909776283084532e-33,3.3761735344469705e-17,2.037187044878315e-17,-1.4776632355445549e-16,-0.4825043758457873,1.0785207688568521e-32,-1.0014835710813626e-32
